Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Bellary,H.B. Halli,Cotton,LD-327,Medium,3200,3200,3200,12 Aug 2015
2,Bellary,H.B. Halli,Cotton,LD-327,Medium,3500,3800,3800,16 Aug 2015
3,Bellary,H.B. Halli,Cotton,LD-327,Medium,3600,3600,3600,10 Aug 2015
4,Bellary,H.B. Halli,Cotton,LD-327,Medium,3600,3900,3800,11 Aug 2015
5,Bellary,H.B. Halli,Cotton,LD-327,Medium,3800,3800,3800,06 Sep 2015
6,Bellary,H.B. Halli,Cotton,LD-327,Medium,4200,4200,4200,26 Aug 2015
7,Bellary,H.B. Halli,Cotton,LD-327,Medium,4200,4200,4200,31 Aug 2016
8,Bellary,H.B. Halli,Cotton,LD-327,Medium,4250,4280,4280,31 Aug 2015
9,Bellary,H.B. Halli,Cotton,LD-327,Medium,4290,4300,4300,01 Sep 2015
10,Bellary,H.B. Halli,Cotton,LD-327,Medium,4500,4500,4500,17 Sep 2016
11,Bellary,H.B. Halli,Cotton,LD-327,Medium,5000,5000,5000,04 Sep 2016
12,Bellary,H.B. Halli,Cotton,LD-327,Medium,5000,5000,5000,15 Sep 2016
13,Bellary,H.B. Halli,Cotton,LD-327,Medium,5800,5850,5850,11 Jan 2016
14,Bellary,H.B. Halli,Cotton,LD-327,Medium,5950,5980,5960,13 Jan 2016
