Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Bellary,H.B. Halli,Maize,Hybrid/Local,FAQ,1100,1350,1300,01 Sep 2018
2,Bellary,H.B. Halli,Maize,Hybrid/Local,FAQ,1240,1400,1400,25 Oct 2017
3,Bellary,H.B. Halli,Maize,Hybrid/Local,FAQ,1250,1250,1250,01 Aug 2018
4,Bellary,H.B. Halli,Maize,Hybrid/Local,FAQ,1250,1250,1250,02 Aug 2018
5,Bellary,H.B. Halli,Maize,Hybrid/Local,FAQ,1250,1350,1310,17 Oct 2017
6,Bellary,H.B. Halli,Maize,Hybrid/Local,FAQ,1300,1380,1380,06 Apr 2016
7,Bellary,H.B. Halli,Maize,Hybrid/Local,FAQ,1300,1420,1380,30 Nov 2020
8,Bellary,H.B. Halli,Maize,Hybrid/Local,FAQ,1325,1500,1450,31 Oct 2018
9,Bellary,H.B. Halli,Maize,Hybrid/Local,FAQ,1400,1400,1400,05 Aug 2020
10,Bellary,H.B. Halli,Maize,Hybrid/Local,FAQ,1400,1400,1400,22 Jun 2016
11,Bellary,H.B. Halli,Maize,Hybrid/Local,FAQ,1400,1410,1410,03 Nov 2016
12,Bellary,H.B. Halli,Maize,Hybrid/Local,FAQ,1400,1450,1420,06 Dec 2016
13,Bellary,H.B. Halli,Maize,Hybrid/Local,FAQ,1400,1450,1450,29 May 2016
14,Bellary,H.B. Halli,Maize,Hybrid/Local,FAQ,1400,1620,1610,15 Mar 2020
15,Bellary,H.B. Halli,Maize,Hybrid/Local,FAQ,1430,1475,1470,25 Jan 2017
16,Bellary,H.B. Halli,Maize,Hybrid/Local,FAQ,1450,1650,1550,11 Mar 2020
17,Bellary,H.B. Halli,Maize,Hybrid/Local,FAQ,1500,1500,1500,17 May 2017
18,Bellary,H.B. Halli,Maize,Hybrid/Local,FAQ,1650,1650,1650,20 May 2017
19,Bellary,H.B. Halli,Maize,Hybrid/Local,FAQ,1650,1710,1700,17 Mar 2020
20,Bellary,H.B. Halli,Maize,Hybrid/Local,FAQ,1800,1800,1800,18 May 2023
21,Bellary,H.B. Halli,Maize,Hybrid/Local,FAQ,1800,1800,1800,24 Mar 2022
22,Bellary,H.B. Halli,Maize,Hybrid/Local,FAQ,1800,1900,1900,30 May 2023
23,Bellary,H.B. Halli,Maize,Hybrid/Local,FAQ,1900,1900,1900,04 Feb 2023
24,Bellary,H.B. Halli,Maize,Hybrid/Local,FAQ,1900,1900,1900,04 May 2022
25,Bellary,H.B. Halli,Maize,Hybrid/Local,FAQ,1900,1900,1900,12 May 2022
26,Bellary,H.B. Halli,Maize,Hybrid/Local,FAQ,1900,1900,1900,17 Mar 2023
27,Bellary,H.B. Halli,Maize,Hybrid/Local,FAQ,1900,1900,1900,31 May 2023
28,Bellary,H.B. Halli,Maize,Hybrid/Local,FAQ,1900,2000,2000,29 May 2023
29,Bellary,H.B. Halli,Maize,Hybrid/Local,FAQ,1910,2100,1960,05 Oct 2019
30,Bellary,H.B. Halli,Maize,Hybrid/Local,FAQ,1950,1950,1950,30 May 2022
31,Bellary,H.B. Halli,Maize,Hybrid/Local,FAQ,2000,2000,2000,03 Apr 2023
32,Bellary,H.B. Halli,Maize,Hybrid/Local,FAQ,2000,2000,2000,14 Feb 2023
33,Bellary,H.B. Halli,Maize,Hybrid/Local,FAQ,2000,2000,2000,15 Apr 2023
34,Bellary,H.B. Halli,Maize,Hybrid/Local,FAQ,2000,2000,2000,15 Mar 2023
35,Bellary,H.B. Halli,Maize,Hybrid/Local,FAQ,2000,2000,2000,28 Feb 2023
36,Bellary,H.B. Halli,Maize,Hybrid/Local,FAQ,2000,2000,2000,30 Oct 2022
37,Bellary,H.B. Halli,Maize,Hybrid/Local,FAQ,2050,2050,2050,11 Apr 2023
38,Bellary,H.B. Halli,Maize,Hybrid/Local,FAQ,2100,2100,2100,13 Feb 2023
39,Bellary,H.B. Halli,Maize,Hybrid/Local,FAQ,2100,2100,2100,16 Feb 2023
40,Bellary,H.B. Halli,Maize,Hybrid/Local,FAQ,2100,2100,2100,21 Mar 2023
41,Bellary,H.B. Halli,Maize,Hybrid/Local,FAQ,2100,2100,2100,27 Mar 2023
42,Bellary,H.B. Halli,Maize,Hybrid/Local,FAQ,2100,2100,2100,30 Mar 2023
