Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Bellary,H.B. Halli,Ragi (Finger Millet),Feeds (Poultry Quality),Medium,1200,1200,1200,25 Nov 2017
2,Bellary,H.B. Halli,Ragi (Finger Millet),Feeds (Poultry Quality),Medium,1300,1300,1300,09 Sep 2015
3,Bellary,H.B. Halli,Ragi (Finger Millet),Feeds (Poultry Quality),Medium,1350,1350,1350,08 Oct 2017
4,Bellary,H.B. Halli,Ragi (Finger Millet),Feeds (Poultry Quality),Medium,1350,1350,1350,17 Jun 2018
5,Bellary,H.B. Halli,Ragi (Finger Millet),Feeds (Poultry Quality),Medium,1350,1350,1350,21 Apr 2016
6,Bellary,H.B. Halli,Ragi (Finger Millet),Feeds (Poultry Quality),Medium,1400,1400,1400,22 Apr 2018
7,Bellary,H.B. Halli,Ragi (Finger Millet),Feeds (Poultry Quality),Medium,1450,2400,2400,28 Jun 2020
8,Bellary,H.B. Halli,Ragi (Finger Millet),Feeds (Poultry Quality),Medium,1470,1470,1470,05 Jul 2016
9,Bellary,H.B. Halli,Ragi (Finger Millet),Feeds (Poultry Quality),Medium,1500,1500,1500,06 Jan 2018
10,Bellary,H.B. Halli,Ragi (Finger Millet),Feeds (Poultry Quality),Medium,1600,1600,1600,13 Oct 2022
11,Bellary,H.B. Halli,Ragi (Finger Millet),Feeds (Poultry Quality),Medium,1600,1600,1600,24 Oct 2016
12,Bellary,H.B. Halli,Ragi (Finger Millet),Feeds (Poultry Quality),Medium,1700,1700,1700,20 Nov 2019
13,Bellary,H.B. Halli,Ragi (Finger Millet),Feeds (Poultry Quality),Medium,1750,1850,1800,02 Jun 2018
14,Bellary,H.B. Halli,Ragi (Finger Millet),Feeds (Poultry Quality),Medium,1800,1800,1800,02 May 2018
15,Bellary,H.B. Halli,Ragi (Finger Millet),Feeds (Poultry Quality),Medium,1800,1800,1800,14 Dec 2017
16,Bellary,H.B. Halli,Ragi (Finger Millet),Feeds (Poultry Quality),Medium,1800,1800,1800,14 Jan 2018
17,Bellary,H.B. Halli,Ragi (Finger Millet),Feeds (Poultry Quality),Medium,1800,1800,1800,24 Jan 2018
18,Bellary,H.B. Halli,Ragi (Finger Millet),Feeds (Poultry Quality),Medium,1900,1900,1900,20 Dec 2016
19,Bellary,H.B. Halli,Ragi (Finger Millet),Feeds (Poultry Quality),Medium,1900,2000,2000,30 Dec 2017
20,Bellary,H.B. Halli,Ragi (Finger Millet),Feeds (Poultry Quality),Medium,1950,1950,1950,01 Mar 2020
21,Bellary,H.B. Halli,Ragi (Finger Millet),Feeds (Poultry Quality),Medium,1950,2000,2000,07 Dec 2019
22,Bellary,H.B. Halli,Ragi (Finger Millet),Feeds (Poultry Quality),Medium,2000,2000,2000,08 May 2020
23,Bellary,H.B. Halli,Ragi (Finger Millet),Feeds (Poultry Quality),Medium,2000,2000,2000,16 Apr 2019
24,Bellary,H.B. Halli,Ragi (Finger Millet),Feeds (Poultry Quality),Medium,2100,2100,2100,27 Oct 2016
25,Bellary,H.B. Halli,Ragi (Finger Millet),Feeds (Poultry Quality),Medium,2300,2300,2300,28 May 2020
26,Bellary,H.B. Halli,Ragi (Finger Millet),Feeds (Poultry Quality),Medium,2300,2400,2400,27 Dec 2018
27,Bellary,H.B. Halli,Ragi (Finger Millet),Feeds (Poultry Quality),Medium,2500,2500,2500,01 Sep 2019
28,Bellary,H.B. Halli,Ragi (Finger Millet),Hybrid,FAQ,1550,1550,1550,27 Jun 2022
29,Bellary,H.B. Halli,Ragi (Finger Millet),Hybrid,FAQ,1550,1550,1550,28 Jun 2022
30,Bellary,H.B. Halli,Ragi (Finger Millet),Hybrid,FAQ,1600,1600,1600,20 Jul 2022
31,Bellary,H.B. Halli,Ragi (Finger Millet),Hybrid,FAQ,1600,1600,1600,24 Jul 2022
32,Bellary,H.B. Halli,Ragi (Finger Millet),Hybrid,FAQ,1600,1600,1600,28 Jul 2022
33,Bellary,H.B. Halli,Ragi (Finger Millet),Hybrid,FAQ,1600,1650,1650,30 Jul 2022
34,Bellary,H.B. Halli,Ragi (Finger Millet),Hybrid,FAQ,1650,1650,1650,02 Aug 2022
35,Bellary,H.B. Halli,Ragi (Finger Millet),Hybrid,FAQ,1650,1650,1650,12 May 2022
36,Bellary,H.B. Halli,Ragi (Finger Millet),Hybrid,FAQ,1650,1650,1650,24 May 2022
37,Bellary,H.B. Halli,Ragi (Finger Millet),Hybrid,FAQ,1650,1650,1650,30 Apr 2022
38,Bellary,H.B. Halli,Ragi (Finger Millet),Hybrid,FAQ,1700,1700,1700,12 Jul 2022
39,Bellary,H.B. Halli,Ragi (Finger Millet),Hybrid,FAQ,1700,1700,1700,18 Jul 2022
40,Bellary,H.B. Halli,Ragi (Finger Millet),Hybrid,FAQ,1700,1700,1700,27 Jul 2022
41,Bellary,H.B. Halli,Ragi (Finger Millet),Hybrid,FAQ,1700,1900,1900,10 Jul 2018
42,Bellary,H.B. Halli,Ragi (Finger Millet),Hybrid,FAQ,1750,1750,1750,11 Jul 2022
43,Bellary,H.B. Halli,Ragi (Finger Millet),Hybrid,FAQ,1800,1800,1800,17 Mar 2023
44,Bellary,H.B. Halli,Ragi (Finger Millet),Hybrid,FAQ,1800,1800,1800,21 Mar 2022
45,Bellary,H.B. Halli,Ragi (Finger Millet),Hybrid,FAQ,1850,1950,1900,15 Mar 2020
46,Bellary,H.B. Halli,Ragi (Finger Millet),Hybrid,FAQ,1900,1900,1900,20 Nov 2016
47,Bellary,H.B. Halli,Ragi (Finger Millet),Hybrid,FAQ,2000,2000,2000,21 Mar 2023
48,Bellary,H.B. Halli,Ragi (Finger Millet),Hybrid,FAQ,2000,2020,2020,20 Dec 2022
49,Bellary,H.B. Halli,Ragi (Finger Millet),Hybrid,Medium,1250,1250,1250,10 Jan 2016
50,Bellary,H.B. Halli,Ragi (Finger Millet),Hybrid,Medium,1300,1400,1400,18 Oct 2015
51,Bellary,H.B. Halli,Ragi (Finger Millet),Hybrid,Medium,1400,1400,1400,02 Sep 2018
52,Bellary,H.B. Halli,Ragi (Finger Millet),Hybrid,Medium,1400,1400,1400,03 Dec 2017
53,Bellary,H.B. Halli,Ragi (Finger Millet),Hybrid,Medium,1400,1400,1400,12 Apr 2016
54,Bellary,H.B. Halli,Ragi (Finger Millet),Hybrid,Medium,1400,1400,1400,12 Jul 2016
55,Bellary,H.B. Halli,Ragi (Finger Millet),Hybrid,Medium,1400,1400,1400,28 Nov 2017
56,Bellary,H.B. Halli,Ragi (Finger Millet),Hybrid,Medium,1400,1500,1450,23 Oct 2018
57,Bellary,H.B. Halli,Ragi (Finger Millet),Hybrid,Medium,1500,1500,1500,03 Mar 2018
58,Bellary,H.B. Halli,Ragi (Finger Millet),Hybrid,Medium,1500,1500,1500,04 Mar 2018
59,Bellary,H.B. Halli,Ragi (Finger Millet),Hybrid,Medium,1500,1500,1500,11 Feb 2018
60,Bellary,H.B. Halli,Ragi (Finger Millet),Hybrid,Medium,1500,1800,1800,13 Mar 2018
61,Bellary,H.B. Halli,Ragi (Finger Millet),Hybrid,Medium,1550,1550,1550,01 Sep 2020
62,Bellary,H.B. Halli,Ragi (Finger Millet),Hybrid,Medium,1580,1580,1580,11 Aug 2022
63,Bellary,H.B. Halli,Ragi (Finger Millet),Hybrid,Medium,1600,1600,1600,15 Feb 2016
64,Bellary,H.B. Halli,Ragi (Finger Millet),Hybrid,Medium,1600,1600,1600,18 Jul 2018
65,Bellary,H.B. Halli,Ragi (Finger Millet),Hybrid,Medium,1600,1600,1600,25 Feb 2018
66,Bellary,H.B. Halli,Ragi (Finger Millet),Hybrid,Medium,1600,1900,1900,15 Sep 2022
