Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Bellary,H.B. Halli,Rice,Broken Rice,Medium,1300,1300,1300,18 Aug 2015
2,Bellary,H.B. Halli,Rice,Broken Rice,Medium,1300,1300,1300,22 Aug 2015
3,Bellary,H.B. Halli,Rice,Broken Rice,Medium,1450,1450,1450,09 Sep 2015
4,Bellary,H.B. Halli,Rice,Broken Rice,Medium,1500,1500,1500,14 Oct 2015
5,Bellary,H.B. Halli,Rice,Broken Rice,Medium,1500,1500,1500,15 Oct 2015
6,Bellary,H.B. Halli,Rice,Broken Rice,Medium,1500,1500,1500,21 Oct 2015
7,Bellary,H.B. Halli,Rice,Broken Rice,Medium,1600,1600,1600,17 Dec 2015
8,Bellary,H.B. Halli,Rice,Broken Rice,Medium,1780,1820,1800,11 Jan 2018
9,Bellary,H.B. Halli,Rice,Broken Rice,Medium,1800,1800,1800,03 May 2021
10,Bellary,H.B. Halli,Rice,Coarse,FAQ,1450,1510,1460,04 Jun 2020
11,Bellary,H.B. Halli,Rice,Coarse,Medium,1300,1550,1490,08 Jun 2020
12,Bellary,H.B. Halli,Rice,Coarse,Medium,1380,1430,1400,07 Jun 2020
13,Bellary,H.B. Halli,Rice,Coarse,Medium,1400,1540,1500,03 Jun 2020
14,Bellary,H.B. Halli,Rice,Coarse,Medium,3200,3200,3200,23 Dec 2017
15,Bellary,H.B. Halli,Rice,Pusa Basmati Raw (New),Medium,3200,3200,3200,31 Dec 2017
