Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Davangere,Davangere,Maize,Local,FAQ,0,0,2230,24 Mar 2025
2,Davangere,Davangere,Maize,Local,FAQ,0,0,2240,05 Apr 2025
3,Davangere,Davangere,Maize,Local,FAQ,0,0,2260,18 Mar 2025
4,Davangere,Davangere,Maize,Local,FAQ,0,0,2310,20 Mar 2025
5,Davangere,Davangere,Maize,Local,FAQ,0,0,2320,12 Mar 2025
6,Davangere,Davangere,Maize,Local,FAQ,195,2040,1990,30 Mar 2019
7,Davangere,Davangere,Maize,Local,FAQ,850,1255,1189,04 Jan 2018
8,Davangere,Davangere,Maize,Local,FAQ,900,1220,1096,07 Nov 2017
9,Davangere,Davangere,Maize,Local,FAQ,900,1250,1141,02 Nov 2017
10,Davangere,Davangere,Maize,Local,FAQ,930,1230,1130,23 Nov 2017
11,Davangere,Davangere,Maize,Local,FAQ,950,1250,1150,22 Nov 2017
12,Davangere,Davangere,Maize,Local,FAQ,960,1242,1204,30 Dec 2017
13,Davangere,Davangere,Maize,Local,FAQ,960,1250,1132,16 Nov 2017
14,Davangere,Davangere,Maize,Local,FAQ,970,1175,1125,17 Apr 2018
15,Davangere,Davangere,Maize,Local,FAQ,980,1235,1088,30 Oct 2017
16,Davangere,Davangere,Maize,Local,FAQ,980,1240,1104,10 Nov 2017
17,Davangere,Davangere,Maize,Local,FAQ,981,1225,1103,08 Nov 2017
18,Davangere,Davangere,Maize,Local,FAQ,987,1332,1110,31 Oct 2017
19,Davangere,Davangere,Maize,Local,FAQ,990,1225,1137,21 Nov 2017
20,Davangere,Davangere,Maize,Local,FAQ,990,1230,1119,09 Nov 2017
21,Davangere,Davangere,Maize,Local,FAQ,1000,1115,1041,21 Mar 2018
22,Davangere,Davangere,Maize,Local,FAQ,1000,1125,1065,19 Mar 2018
23,Davangere,Davangere,Maize,Local,FAQ,1000,1140,1088,23 Mar 2018
24,Davangere,Davangere,Maize,Local,FAQ,1000,1165,1140,03 Mar 2018
25,Davangere,Davangere,Maize,Local,FAQ,1000,1182,1154,13 Apr 2018
