Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,0,0,2278,20 Mar 2025
2,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,0,0,2925,05 Apr 2025
3,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,0,0,3001,18 Mar 2025
4,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,0,0,3290,24 Mar 2025
5,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,0,0,3360,12 Mar 2025
6,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,170,1850,1820,21 Mar 2022
7,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,287,3800,3090,16 Apr 2025
8,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,300,3402,3180,13 Dec 2024
9,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1200,1800,1500,28 Oct 2015
10,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1200,2500,1850,27 Apr 2020
11,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1200,2989,2839,29 Mar 2025
12,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1300,1300,1300,02 Sep 2015
13,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1300,1300,1300,05 Dec 2015
14,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1300,1300,1300,21 Oct 2015
15,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1300,1300,1300,23 Sep 2015
16,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1300,1300,1300,25 Nov 2015
17,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1300,1800,1719,28 Jun 2018
18,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1300,1920,1819,01 Jun 2018
19,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1360,2120,1750,29 Jan 2020
20,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1400,1400,1400,02 Nov 2019
21,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1400,1400,1400,26 Oct 2015
22,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1400,1450,1425,22 Sep 2020
23,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1400,1500,1450,28 Aug 2015
24,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1400,1600,1500,27 Nov 2015
25,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1420,1820,1730,02 Mar 2020
