Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Davangere,Davangere,Rice,Medium,FAQ,2400,3500,3130,26 Jun 2025
2,Davangere,Davangere,Rice,Broken Rice,FAQ,2580,2580,2580,05 Aug 2024
3,Davangere,Davangere,Rice,Broken Rice,FAQ,2680,2680,2680,19 Aug 2024
4,Davangere,Davangere,Rice,Medium,FAQ,2600,2600,2600,28 Jun 2024
5,Davangere,Davangere,Rice,Broken Rice,FAQ,2300,2300,2300,08 Apr 2025
6,Davangere,Davangere,Rice,Medium,FAQ,2700,6000,4350,06 Jul 2018
7,Davangere,Davangere,Rice,Medium,FAQ,4300,4300,4300,05 Dec 2024
8,Davangere,Davangere,Rice,Medium,FAQ,3300,3400,3350,10 Jun 2016
9,Davangere,Davangere,Rice,Medium,FAQ,3600,3700,3650,17 Mar 2017
10,Davangere,Davangere,Rice,Medium,FAQ,2800,3500,3210,10 Jun 2025
11,Davangere,Davangere,Rice,Medium,FAQ,3300,3500,3400,21 Oct 2015
12,Davangere,Davangere,Rice,Medium,FAQ,3000,7140,4320,14 Mar 2025
13,Davangere,Davangere,Rice,Medium,FAQ,2400,3500,3160,25 Jun 2025
14,Davangere,Davangere,Rice,Medium,FAQ,2900,3000,2950,14 Aug 2015
15,Davangere,Davangere,Rice,Medium,FAQ,2900,4100,3651,20 Dec 2024
16,Davangere,Davangere,Rice,Medium,FAQ,2900,6000,4450,03 May 2019
17,Davangere,Davangere,Rice,Medium,FAQ,3000,3900,3450,17 Apr 2025
18,Davangere,Davangere,Rice,Medium,FAQ,3000,3000,3000,01 Jan 2025
19,Davangere,Davangere,Rice,Medium,FAQ,2900,6000,4450,09 Dec 2024
20,Davangere,Davangere,Rice,Medium,FAQ,4250,4800,4525,11 Nov 2024
21,Davangere,Davangere,Rice,Medium,FAQ,2900,7120,5010,26 Aug 2024
22,Davangere,Davangere,Rice,Medium,FAQ,2400,3300,3190,24 Apr 2025
23,Davangere,Davangere,Rice,Medium,FAQ,2800,5200,4000,16 Aug 2018
24,Davangere,Davangere,Rice,Medium,Local,2400,3500,2990,10 Jul 2025
25,Davangere,Davangere,Rice,Medium,FAQ,3600,6000,4800,21 Jul 2017
26,Davangere,Davangere,Rice,Medium,FAQ,3300,3400,3350,06 May 2016
27,Davangere,Davangere,Rice,Medium,FAQ,3600,3700,3650,21 Apr 2017
28,Davangere,Davangere,Rice,Medium,FAQ,3600,3700,3650,13 Apr 2017
29,Davangere,Davangere,Rice,Medium,FAQ,2930,4250,3590,24 Sep 2024
30,Davangere,Davangere,Rice,Medium,FAQ,3500,3600,3550,01 Sep 2016
31,Davangere,Davangere,Rice,Medium,FAQ,5316,5316,5316,06 Dec 2024
32,Davangere,Davangere,Rice,Medium,FAQ,2800,3550,3160,30 May 2025
33,Davangere,Davangere,Rice,Medium,Local,2400,2930,2730,05 Jul 2025
34,Davangere,Davangere,Rice,Medium,FAQ,4176,5020,4690,09 Aug 2024
35,Davangere,Davangere,Rice,Medium,FAQ,2900,2900,2900,20 Sep 2024
36,Davangere,Davangere,Rice,Broken Rice,FAQ,2240,2500,2360,29 May 2025
37,Davangere,Davangere,Rice,Medium,FAQ,2450,2480,2467,26 Apr 2020
38,Davangere,Davangere,Rice,Medium,FAQ,3300,3400,3350,04 Dec 2015
39,Davangere,Davangere,Rice,Medium,FAQ,2650,2650,2650,11 Jul 2024
40,Davangere,Davangere,Rice,Medium,FAQ,2800,6000,4400,04 Jan 2019
41,Davangere,Davangere,Rice,Medium,FAQ,3000,3850,3430,19 Feb 2025
42,Davangere,Davangere,Rice,Medium,FAQ,2800,5500,4150,29 Jun 2018
43,Davangere,Davangere,Rice,Medium,FAQ,3600,3700,3650,22 Jul 2016
44,Davangere,Davangere,Rice,Medium,FAQ,3200,3300,3250,23 Sep 2015
45,Davangere,Davangere,Rice,Medium,FAQ,3600,6000,4800,28 Jul 2017
46,Davangere,Davangere,Rice,Broken Rice,FAQ,2410,2410,2410,10 Feb 2025
47,Davangere,Davangere,Rice,Medium,FAQ,2450,2800,2610,20 May 2025
48,Davangere,Davangere,Rice,Medium,FAQ,2900,6000,4450,05 Apr 2019
49,Davangere,Davangere,Rice,Medium,FAQ,2450,3410,2800,19 May 2025
50,Davangere,Davangere,Rice,Medium,FAQ,3800,4400,4130,30 Jan 2025
51,Davangere,Davangere,Rice,Medium,Ref grade-1,3020,3800,3430,04 Feb 2025
52,Davangere,Davangere,Rice,Medium,FAQ,2800,3600,3130,22 May 2025
53,Davangere,Davangere,Rice,Medium,FAQ,3300,3400,3350,28 May 2016
54,Davangere,Davangere,Rice,Medium,FAQ,2700,6000,4350,31 Aug 2018
55,Davangere,Davangere,Rice,Broken Rice,FAQ,2500,2900,2700,15 Jul 2024
56,Davangere,Davangere,Rice,Medium,FAQ,5800,6000,5900,05 Jun 2020
57,Davangere,Davangere,Rice,Medium,FAQ,3000,7050,5010,30 Dec 2024
58,Davangere,Davangere,Rice,Medium,FAQ,2900,6048,4474,22 Oct 2024
59,Davangere,Davangere,Rice,Medium,FAQ,2700,6000,4350,01 Mar 2019
60,Davangere,Davangere,Rice,Broken Rice,FAQ,2600,2600,2600,18 Dec 2024
61,Davangere,Davangere,Rice,Medium,FAQ,2700,5800,4250,28 Dec 2018
62,Davangere,Davangere,Rice,Medium,FAQ,2700,6000,4350,15 Mar 2019
63,Davangere,Davangere,Rice,Broken Rice,Local,2200,2200,2200,04 Jul 2025
64,Davangere,Davangere,Rice,Broken Rice,FAQ,2000,2900,2450,23 Jul 2024
65,Davangere,Davangere,Rice,Medium,FAQ,5000,6350,5675,09 Jul 2024
66,Davangere,Davangere,Rice,Medium,FAQ,3000,4000,3770,13 Feb 2025
67,Davangere,Davangere,Rice,Broken Rice,FAQ,2500,2500,2500,12 Jul 2024
68,Davangere,Davangere,Rice,Medium,FAQ,3000,6000,4500,13 Sep 2019
69,Davangere,Davangere,Rice,Broken Rice,FAQ,2200,2230,2220,17 May 2025
70,Davangere,Davangere,Rice,Medium,FAQ,3000,4000,3530,27 Jan 2025
