Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Davangere,Davangere,Tomato,Tomato,FAQ,300,500,400,25 Feb 2022
2,Davangere,Davangere,Tomato,Tomato,FAQ,100,200,150,10 Aug 2016
3,Davangere,Davangere,Tomato,Tomato,FAQ,1200,1600,1400,04 Feb 2021
4,Davangere,Davangere,Tomato,Tomato,FAQ,320,400,360,28 Aug 2019
5,Davangere,Davangere,Tomato,Tomato,FAQ,400,600,500,06 May 2023
6,Davangere,Davangere,Tomato,Tomato,FAQ,100,300,200,08 Sep 2015
7,Davangere,Davangere,Tomato,Tomato,FAQ,300,350,325,06 Sep 2018
8,Davangere,Davangere,Tomato,Tomato,FAQ,800,1000,900,12 May 2020
9,Davangere,Davangere,Tomato,Tomato,FAQ,1800,2000,1900,26 Apr 2016
10,Davangere,Davangere,Tomato,Tomato,FAQ,320,480,400,05 Sep 2019
11,Davangere,Davangere,Tomato,Tomato,FAQ,400,600,500,28 Jul 2016
12,Davangere,Davangere,Tomato,Tomato,FAQ,1200,1500,1400,04 Jun 2020
13,Davangere,Davangere,Tomato,Tomato,FAQ,500,800,600,10 Jan 2023
14,Davangere,Davangere,Tomato,Tomato,FAQ,1400,2000,1700,25 Apr 2024
15,Davangere,Davangere,Tomato,Tomato,FAQ,300,400,350,18 Sep 2015
16,Davangere,Davangere,Tomato,Tomato,FAQ,500,700,600,28 Mar 2019
17,Davangere,Davangere,Tomato,Tomato,FAQ,4000,4500,4200,16 Jun 2022
18,Davangere,Davangere,Tomato,Tomato,FAQ,400,800,600,22 Dec 2022
19,Davangere,Davangere,Tomato,Tomato,FAQ,1600,2000,1800,19 Sep 2023
20,Davangere,Davangere,Tomato,Tomato,FAQ,250,400,300,12 Sep 2018
21,Davangere,Davangere,Tomato,Tomato,FAQ,1500,1800,1600,14 Jun 2020
22,Davangere,Davangere,Tomato,Tomato,FAQ,3250,3750,3500,19 Jun 2019
23,Davangere,Davangere,Tomato,Tomato,FAQ,600,1000,800,14 Aug 2019
24,Davangere,Davangere,Tomato,Tomato,FAQ,500,1000,800,22 Dec 2020
25,Davangere,Davangere,Tomato,Tomato,FAQ,600,700,650,23 Oct 2018
26,Davangere,Davangere,Tomato,Tomato,FAQ,240,400,320,18 Feb 2020
27,Davangere,Davangere,Tomato,Tomato,FAQ,600,800,700,13 Apr 2022
28,Davangere,Davangere,Tomato,Tomato,FAQ,2000,2400,2200,15 Nov 2017
29,Davangere,Davangere,Tomato,Tomato,FAQ,900,1250,1000,29 Jan 2019
30,Davangere,Davangere,Tomato,Tomato,FAQ,1200,1600,1400,09 Aug 2019
31,Davangere,Davangere,Tomato,Tomato,FAQ,600,800,700,16 Sep 2021
32,Davangere,Davangere,Tomato,Tomato,FAQ,1000,1500,1200,09 Nov 2023
33,Davangere,Davangere,Tomato,Tomato,FAQ,300,400,350,05 Oct 2018
34,Davangere,Davangere,Tomato,Tomato,FAQ,320,400,360,20 Feb 2020
35,Davangere,Davangere,Tomato,Tomato,FAQ,1200,1700,1500,03 Nov 2020
36,Davangere,Davangere,Tomato,Tomato,FAQ,320,480,400,11 Sep 2019
37,Davangere,Davangere,Tomato,Tomato,FAQ,320,400,360,19 Mar 2020
38,Davangere,Davangere,Tomato,Tomato,FAQ,3500,5000,4300,21 Jun 2024
39,Davangere,Davangere,Tomato,Tomato,FAQ,800,1000,900,22 May 2020
