Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Davangere,Davangere,Cotton,GCH,FAQ,1339,6643,5135,10 Aug 2016
2,Davangere,Davangere,Cotton,MCU 5,FAQ,100,500,300,02 Mar 2019
3,Davangere,Davangere,Cotton,MCU 5,FAQ,200,1000,700,27 Apr 2020
4,Davangere,Davangere,Cotton,MCU 5,FAQ,369,4025,3553,09 Mar 2018
5,Davangere,Davangere,Cotton,MCU 5,FAQ,400,6556,5095,08 Jan 2018
6,Davangere,Davangere,Cotton,MCU 5,FAQ,470,6320,5079,04 Jan 2018
7,Davangere,Davangere,Cotton,MCU 5,FAQ,500,5800,5345,28 Aug 2018
8,Davangere,Davangere,Cotton,MCU 5,FAQ,609,6490,5438,02 Jan 2019
9,Davangere,Davangere,Cotton,MCU 5,FAQ,611,6525,5699,05 Jan 2018
10,Davangere,Davangere,Cotton,MCU 5,FAQ,619,4509,3881,26 Apr 2018
11,Davangere,Davangere,Cotton,MCU 5,FAQ,619,5119,4163,12 Feb 2018
12,Davangere,Davangere,Cotton,MCU 5,FAQ,660,5371,3998,13 Nov 2017
13,Davangere,Davangere,Cotton,MCU 5,FAQ,669,4209,3701,03 Mar 2016
14,Davangere,Davangere,Cotton,MCU 5,FAQ,670,5589,4410,22 Feb 2016
15,Davangere,Davangere,Cotton,MCU 5,FAQ,690,4272,3915,02 Nov 2017
16,Davangere,Davangere,Cotton,MCU 5,FAQ,690,6269,4553,18 Dec 2017
17,Davangere,Davangere,Cotton,MCU 5,FAQ,719,6469,5197,03 Jan 2018
18,Davangere,Davangere,Cotton,MCU 5,FAQ,730,3890,2708,24 Oct 2017
19,Davangere,Davangere,Cotton,MCU 5,FAQ,730,4319,3370,30 Oct 2017
20,Davangere,Davangere,Cotton,MCU 5,FAQ,769,5769,3169,27 Nov 2017
21,Davangere,Davangere,Cotton,MCU 5,FAQ,770,2790,2699,21 May 2018
22,Davangere,Davangere,Cotton,MCU 5,FAQ,770,4369,3599,26 Oct 2017
23,Davangere,Davangere,Cotton,MCU 5,FAQ,770,4509,4288,18 Nov 2017
24,Davangere,Davangere,Cotton,MCU 5,FAQ,770,4709,4377,13 Dec 2017
25,Davangere,Davangere,Cotton,MCU 5,FAQ,770,5290,3970,23 Oct 2017
26,Davangere,Davangere,Cotton,MCU 5,FAQ,790,3570,1608,25 Oct 2017
27,Davangere,Davangere,Cotton,MCU 5,FAQ,801,4089,3316,03 Nov 2017
28,Davangere,Davangere,Cotton,MCU 5,FAQ,801,5796,4943,10 Jan 2018
29,Davangere,Davangere,Cotton,MCU 5,FAQ,809,4189,3676,13 Mar 2018
30,Davangere,Davangere,Cotton,MCU 5,FAQ,809,5419,4745,06 Feb 2019
31,Davangere,Davangere,Cotton,MCU 5,FAQ,809,6526,4827,01 Jan 2018
32,Davangere,Davangere,Cotton,MCU 5,FAQ,819,4219,2909,26 Feb 2018
33,Davangere,Davangere,Cotton,MCU 5,FAQ,829,4242,3381,09 Apr 2018
34,Davangere,Davangere,Cotton,MCU 5,FAQ,840,5051,4741,05 Apr 2018
35,Davangere,Davangere,Cotton,MCU 5,FAQ,870,3829,2875,04 Apr 2018
36,Davangere,Davangere,Cotton,MCU 5,FAQ,870,3919,3403,02 Apr 2018
37,Davangere,Davangere,Cotton,MCU 5,FAQ,870,4282,3810,09 Mar 2016
38,Davangere,Davangere,Cotton,MCU 5,FAQ,890,3909,3180,08 Mar 2018
39,Davangere,Davangere,Cotton,MCU 5,FAQ,890,4219,3523,23 Mar 2018
40,Davangere,Davangere,Cotton,MCU 5,FAQ,911,6363,5308,29 Dec 2017
41,Davangere,Davangere,Cotton,MCU 5,FAQ,919,4729,3459,05 Dec 2017
42,Davangere,Davangere,Cotton,MCU 5,FAQ,970,3909,3490,15 Nov 2017
43,Davangere,Davangere,Cotton,MCU 5,FAQ,970,5139,4716,17 Oct 2017
44,Davangere,Davangere,Cotton,MCU 5,FAQ,970,6222,5197,11 Sep 2018
45,Davangere,Davangere,Cotton,MCU 5,FAQ,989,6446,4906,26 Dec 2017
46,Davangere,Davangere,Cotton,MCU 5,FAQ,990,5139,3590,09 Oct 2017
47,Davangere,Davangere,Cotton,MCU 5,FAQ,1000,3680,3380,17 Jun 2020
48,Davangere,Davangere,Cotton,MCU 5,FAQ,1000,4630,4060,26 Aug 2020
49,Davangere,Davangere,Cotton,MCU 5,FAQ,1000,4860,3230,28 Aug 2020
50,Davangere,Davangere,Cotton,MCU 5,FAQ,1000,5150,3767,29 Jul 2017
51,Davangere,Davangere,Cotton,MCU 5,FAQ,1000,5220,5020,29 Oct 2020
52,Davangere,Davangere,Cotton,MCU 5,FAQ,1000,5520,3620,31 Aug 2020
53,Davangere,Davangere,Cotton,MCU 5,FAQ,1000,5650,3780,05 Oct 2020
54,Davangere,Davangere,Cotton,MCU 5,FAQ,1000,5829,5013,21 Dec 2018
55,Davangere,Davangere,Cotton,MCU 5,FAQ,1000,5939,3060,03 Oct 2020
56,Davangere,Davangere,Cotton,MCU 5,FAQ,1001,5159,4370,09 Nov 2020
57,Davangere,Davangere,Cotton,MCU 5,FAQ,1001,5161,4340,13 Nov 2020
58,Davangere,Davangere,Cotton,MCU 5,FAQ,1001,6409,5144,16 Jan 2019
59,Davangere,Davangere,Cotton,MCU 5,FAQ,1009,4649,4283,20 Feb 2020
60,Davangere,Davangere,Cotton,MCU 5,FAQ,1009,4866,4370,14 Aug 2020
61,Davangere,Davangere,Cotton,MCU 5,FAQ,1009,4866,4371,17 Aug 2020
62,Davangere,Davangere,Cotton,MCU 5,FAQ,1009,4909,4314,11 Aug 2020
63,Davangere,Davangere,Cotton,MCU 5,FAQ,1009,4911,4350,06 Nov 2020
64,Davangere,Davangere,Cotton,MCU 5,FAQ,1009,5525,4709,13 Dec 2018
65,Davangere,Davangere,Cotton,MCU 5,FAQ,1009,5525,5002,27 Dec 2017
66,Davangere,Davangere,Cotton,MCU 5,FAQ,1009,5809,5157,14 Oct 2019
67,Davangere,Davangere,Cotton,MCU 5,FAQ,1009,6306,3727,08 Nov 2019
68,Davangere,Davangere,Cotton,MCU 5,FAQ,1010,3638,3560,10 Sep 2020
69,Davangere,Davangere,Cotton,MCU 5,FAQ,1011,4522,3938,23 Nov 2017
70,Davangere,Davangere,Cotton,MCU 5,FAQ,1011,5449,5110,24 Jan 2018
71,Davangere,Davangere,Cotton,MCU 5,FAQ,1019,5544,5450,01 Dec 2020
72,Davangere,Davangere,Cotton,MCU 5,FAQ,1020,3240,2130,27 May 2020
73,Davangere,Davangere,Cotton,MCU 5,FAQ,1020,3450,2930,12 May 2020
74,Davangere,Davangere,Cotton,MCU 5,FAQ,1020,4370,3720,24 Aug 2020
75,Davangere,Davangere,Cotton,MCU 5,FAQ,1029,4510,3761,16 Feb 2018
76,Davangere,Davangere,Cotton,MCU 5,FAQ,1029,4692,4039,19 Feb 2016
77,Davangere,Davangere,Cotton,MCU 5,FAQ,1029,4919,4150,09 Oct 2020
78,Davangere,Davangere,Cotton,MCU 5,FAQ,1029,5009,3727,17 Jan 2018
79,Davangere,Davangere,Cotton,MCU 5,FAQ,1029,5619,4979,28 Oct 2016
80,Davangere,Davangere,Cotton,MCU 5,FAQ,1029,14169,8600,04 Oct 2021
81,Davangere,Davangere,Cotton,MCU 5,FAQ,1049,6540,4900,02 Nov 2020
82,Davangere,Davangere,Cotton,MCU 5,FAQ,1050,4649,4074,15 Feb 2016
83,Davangere,Davangere,Cotton,MCU 5,FAQ,1050,5031,4576,07 Dec 2017
84,Davangere,Davangere,Cotton,MCU 5,FAQ,1059,4149,3673,16 Apr 2020
85,Davangere,Davangere,Cotton,MCU 5,FAQ,1069,3659,3336,28 Apr 2020
86,Davangere,Davangere,Cotton,MCU 5,FAQ,1069,4529,3805,10 Oct 2017
87,Davangere,Davangere,Cotton,MCU 5,FAQ,1069,4659,4119,29 Jan 2018
88,Davangere,Davangere,Cotton,MCU 5,FAQ,1069,5489,5294,15 Sep 2018
89,Davangere,Davangere,Cotton,MCU 5,FAQ,1069,6109,5020,19 Apr 2021
90,Davangere,Davangere,Cotton,MCU 5,FAQ,1069,6169,5158,09 Jan 2017
91,Davangere,Davangere,Cotton,MCU 5,FAQ,1070,3340,2764,16 Mar 2018
92,Davangere,Davangere,Cotton,MCU 5,FAQ,1070,4389,3860,05 Mar 2018
93,Davangere,Davangere,Cotton,MCU 5,FAQ,1070,6280,4589,30 Nov 2016
94,Davangere,Davangere,Cotton,MCU 5,FAQ,1080,4110,3758,20 Apr 2020
95,Davangere,Davangere,Cotton,MCU 5,FAQ,1100,4469,3795,18 Sep 2017
96,Davangere,Davangere,Cotton,MCU 5,FAQ,1100,4611,3959,18 Feb 2016
97,Davangere,Davangere,Cotton,MCU 5,FAQ,1100,4840,3200,19 Aug 2020
98,Davangere,Davangere,Cotton,MCU 5,FAQ,1100,5159,4634,14 Sep 2017
99,Davangere,Davangere,Cotton,MCU 5,FAQ,1100,6670,4970,23 Nov 2020
100,Davangere,Davangere,Cotton,MCU 5,FAQ,1109,5319,4551,13 Feb 2019
101,Davangere,Davangere,Cotton,MCU 5,FAQ,1109,5556,5158,28 Dec 2017
102,Davangere,Davangere,Cotton,MCU 5,FAQ,1109,5960,4386,07 Sep 2020
103,Davangere,Davangere,Cotton,MCU 5,FAQ,1119,5309,4650,07 Dec 2020
104,Davangere,Davangere,Cotton,MCU 5,FAQ,1119,6230,4985,16 Dec 2019
105,Davangere,Davangere,Cotton,MCU 5,FAQ,1129,6575,5141,30 Dec 2019
106,Davangere,Davangere,Cotton,MCU 5,FAQ,1132,5472,5158,25 Jan 2019
107,Davangere,Davangere,Cotton,MCU 5,FAQ,1159,3689,3544,17 Apr 2020
108,Davangere,Davangere,Cotton,MCU 5,FAQ,1159,6376,5002,20 Dec 2019
109,Davangere,Davangere,Cotton,MCU 5,FAQ,1169,5320,4213,18 Nov 2020
110,Davangere,Davangere,Cotton,MCU 5,FAQ,1169,5715,4549,26 Nov 2020
111,Davangere,Davangere,Cotton,MCU 5,FAQ,1169,5889,5371,09 Aug 2018
112,Davangere,Davangere,Cotton,MCU 5,FAQ,1169,6161,5397,17 Sep 2018
