Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Koppal,Gangavathi,Cotton,Other,FAQ,0,0,7200,13 Mar 2025
2,Koppal,Gangavathi,Cotton,Other,FAQ,4000,4000,4000,18 Nov 2015
3,Koppal,Gangavathi,Cotton,Other,FAQ,4000,4000,4000,19 Nov 2015
4,Koppal,Gangavathi,Cotton,Other,FAQ,4000,4130,4052,16 Nov 2015
5,Koppal,Gangavathi,Cotton,Other,FAQ,4000,4170,4146,09 Nov 2015
6,Koppal,Gangavathi,Cotton,Other,FAQ,4000,4550,4073,26 Oct 2015
7,Koppal,Gangavathi,Cotton,Other,FAQ,4010,4020,4014,07 Dec 2015
8,Koppal,Gangavathi,Cotton,Other,FAQ,4080,4080,4080,02 Nov 2015
9,Koppal,Gangavathi,Cotton,Other,FAQ,4080,4080,4080,11 Nov 2015
10,Koppal,Gangavathi,Cotton,Other,FAQ,4100,4100,4100,01 Dec 2015
11,Koppal,Gangavathi,Cotton,Other,FAQ,4150,4160,4154,19 Oct 2015
12,Koppal,Gangavathi,Cotton,Other,FAQ,4200,4200,4200,21 Oct 2015
13,Koppal,Gangavathi,Cotton,Other,FAQ,4220,4225,4222,14 Dec 2015
14,Koppal,Gangavathi,Cotton,Other,FAQ,4250,4260,4255,21 Dec 2015
15,Koppal,Gangavathi,Cotton,Other,FAQ,4310,4320,4314,30 Nov 2015
16,Koppal,Gangavathi,Cotton,Other,FAQ,4340,4420,4396,23 Nov 2015
17,Koppal,Gangavathi,Cotton,Other,FAQ,4340,4600,4462,13 Oct 2015
18,Koppal,Gangavathi,Cotton,Other,FAQ,4344,4350,4345,25 Nov 2015
19,Koppal,Gangavathi,Cotton,Other,FAQ,4410,4480,4444,26 Dec 2015
20,Koppal,Gangavathi,Cotton,Other,FAQ,4460,4465,4462,26 Nov 2015
21,Koppal,Gangavathi,Cotton,Other,FAQ,4470,4480,4476,02 Sep 2015
22,Koppal,Gangavathi,Cotton,Other,FAQ,4500,4500,4500,16 Oct 2015
23,Koppal,Gangavathi,Cotton,Other,FAQ,4500,4500,4500,20 Oct 2015
24,Koppal,Gangavathi,Cotton,Other,FAQ,4550,4560,4552,31 Aug 2015
25,Koppal,Gangavathi,Cotton,Other,FAQ,4600,4600,4600,09 Oct 2015
26,Koppal,Gangavathi,Cotton,Other,FAQ,4600,4600,4600,14 Oct 2015
27,Koppal,Gangavathi,Cotton,Other,FAQ,4600,4600,4600,15 Oct 2015
28,Koppal,Gangavathi,Cotton,Other,FAQ,4600,4630,4618,14 Sep 2015
29,Koppal,Gangavathi,Cotton,Other,FAQ,4650,4650,4650,21 Sep 2015
30,Koppal,Gangavathi,Cotton,Other,FAQ,4650,4745,4701,04 Jan 2016
31,Koppal,Gangavathi,Cotton,Other,FAQ,4690,4690,4690,16 Sep 2015
32,Koppal,Gangavathi,Cotton,Other,FAQ,4800,4800,4800,01 Oct 2015
33,Koppal,Gangavathi,Cotton,Other,FAQ,4800,4800,4800,29 Sep 2015
34,Koppal,Gangavathi,Cotton,Other,FAQ,4800,4800,4800,30 Sep 2015
35,Koppal,Gangavathi,Cotton,Other,FAQ,6150,7450,7130,24 Feb 2025
36,Koppal,Gangavathi,Cotton,Other,FAQ,6747,7450,7250,27 Feb 2025
37,Koppal,Gangavathi,Cotton,Other,FAQ,7071,7465,7465,28 Feb 2025
38,Koppal,Gangavathi,Cotton,Other,FAQ,7100,7450,7250,25 Feb 2025
