Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Koppal,Gangavathi,Maize,Hybrid/Local,FAQ,1175,1175,1175,19 Oct 2015
2,Koppal,Gangavathi,Maize,Jawari,FAQ,2060,2250,2217,08 Nov 2023
3,Koppal,Gangavathi,Maize,Local,FAQ,900,1000,950,14 Feb 2018
4,Koppal,Gangavathi,Maize,Local,FAQ,1000,1000,1000,07 Apr 2018
5,Koppal,Gangavathi,Maize,Local,FAQ,1000,1000,1000,12 Apr 2018
6,Koppal,Gangavathi,Maize,Local,FAQ,1000,1260,1200,16 Sep 2020
7,Koppal,Gangavathi,Maize,Local,FAQ,1100,1100,1100,02 Jun 2018
8,Koppal,Gangavathi,Maize,Local,FAQ,1100,1100,1100,19 Jan 2018
9,Koppal,Gangavathi,Maize,Local,FAQ,1100,1120,1110,27 Apr 2018
10,Koppal,Gangavathi,Maize,Local,FAQ,1100,1150,1100,22 Jan 2018
11,Koppal,Gangavathi,Maize,Local,FAQ,1100,1260,1200,09 Sep 2020
12,Koppal,Gangavathi,Maize,Local,FAQ,1110,1130,1125,11 Jun 2018
13,Koppal,Gangavathi,Maize,Local,FAQ,1110,1215,1120,31 Oct 2017
14,Koppal,Gangavathi,Maize,Local,FAQ,1120,1120,1120,01 Dec 2017
15,Koppal,Gangavathi,Maize,Local,FAQ,1120,1120,1120,02 Nov 2017
16,Koppal,Gangavathi,Maize,Local,FAQ,1120,1120,1120,29 Dec 2017
17,Koppal,Gangavathi,Maize,Local,FAQ,1120,1120,1120,29 Jan 2018
18,Koppal,Gangavathi,Maize,Local,FAQ,1135,1135,1135,09 Jan 2018
19,Koppal,Gangavathi,Maize,Local,FAQ,1150,1150,1150,19 May 2018
20,Koppal,Gangavathi,Maize,Local,FAQ,1150,1150,1150,28 Aug 2018
21,Koppal,Gangavathi,Maize,Local,FAQ,1160,1160,1160,04 Jan 2018
22,Koppal,Gangavathi,Maize,Local,FAQ,1160,1300,1234,14 Oct 2020
23,Koppal,Gangavathi,Maize,Local,FAQ,1175,1175,1175,02 Sep 2015
24,Koppal,Gangavathi,Maize,Local,FAQ,1175,1175,1175,14 Sep 2015
25,Koppal,Gangavathi,Maize,Local,FAQ,1175,1175,1175,18 Sep 2015
26,Koppal,Gangavathi,Maize,Local,FAQ,1175,1175,1175,29 Oct 2015
27,Koppal,Gangavathi,Maize,Local,FAQ,1175,1195,1175,08 Dec 2017
28,Koppal,Gangavathi,Maize,Local,FAQ,1175,1220,1220,26 Dec 2017
29,Koppal,Gangavathi,Maize,Local,FAQ,1180,1180,1180,18 Jan 2016
