Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Bellary,Hospet,Maize,Hybrid/Local,FAQ,1400,1400,1400,21 Oct 2015
2,Bellary,Hospet,Maize,Hybrid/Local,FAQ,1400,1400,1400,31 Dec 2015
3,Bellary,Hospet,Maize,Hybrid/Local,FAQ,1450,1470,1460,30 Nov 2016
4,Bellary,Hospet,Maize,Hybrid/Local,FAQ,1720,1720,1720,08 Nov 2016
5,Bellary,Hospet,Maize,Hybrid/Local,FAQ,2130,2130,2130,30 Jul 2023
6,Bellary,Hospet,Maize,Hybrid/Local,Medium,1115,1115,1115,17 Mar 2018
7,Bellary,Hospet,Maize,Hybrid/Local,Medium,1150,1150,1150,06 Jul 2018
8,Bellary,Hospet,Maize,Hybrid/Local,Medium,1150,1150,1150,16 Mar 2018
9,Bellary,Hospet,Maize,Hybrid/Local,Medium,1160,1160,1160,13 Mar 2018
10,Bellary,Hospet,Maize,Hybrid/Local,Medium,1160,1160,1160,25 Aug 2018
11,Bellary,Hospet,Maize,Hybrid/Local,Medium,1200,1200,1200,01 Jun 2019
12,Bellary,Hospet,Maize,Hybrid/Local,Medium,1200,1200,1200,24 Feb 2018
13,Bellary,Hospet,Maize,Hybrid/Local,Medium,1200,1200,1200,27 Nov 2018
14,Bellary,Hospet,Maize,Hybrid/Local,Medium,1250,1250,1250,05 Mar 2019
15,Bellary,Hospet,Maize,Hybrid/Local,Medium,1300,1300,1300,27 Nov 2015
16,Bellary,Hospet,Maize,Hybrid/Local,Medium,1300,1325,1325,24 Nov 2015
17,Bellary,Hospet,Maize,Hybrid/Local,Medium,1300,1400,1350,18 Dec 2015
18,Bellary,Hospet,Maize,Hybrid/Local,Medium,1375,1375,1375,13 Sep 2017
19,Bellary,Hospet,Maize,Hybrid/Local,Medium,1425,1425,1425,17 Oct 2015
20,Bellary,Hospet,Maize,Hybrid/Local,Medium,1450,1450,1450,02 Dec 2015
21,Bellary,Hospet,Maize,Hybrid/Local,Medium,1500,1600,1550,03 May 2017
22,Bellary,Hospet,Maize,Hybrid/Local,Medium,1650,1650,1650,26 Jul 2017
23,Bellary,Hospet,Maize,Hybrid/Local,Medium,1680,1680,1680,27 Oct 2021
24,Bellary,Hospet,Maize,Hybrid/Local,Medium,1800,1800,1800,04 Mar 2020
25,Bellary,Hospet,Maize,Hybrid/Local,Medium,1800,1800,1800,30 Jan 2019
26,Bellary,Hospet,Maize,Hybrid/Local,Medium,1850,1850,1850,01 Jan 2022
27,Bellary,Hospet,Maize,Hybrid/Local,Medium,1900,1900,1900,03 Mar 2019
28,Bellary,Hospet,Maize,Hybrid/Local,Medium,2000,2000,2000,21 Apr 2020
