Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Bellary,Hospet,Rice,Broken Rice,FAQ,1200,1220,1206,07 Jul 2020
2,Bellary,Hospet,Rice,Broken Rice,FAQ,1400,1400,1400,13 Jul 2020
3,Bellary,Hospet,Rice,Broken Rice,FAQ,1500,1700,1600,16 Dec 2015
4,Bellary,Hospet,Rice,Broken Rice,FAQ,1700,1700,1700,13 Feb 2016
5,Bellary,Hospet,Rice,Broken Rice,FAQ,1700,1700,1700,16 Jan 2016
6,Bellary,Hospet,Rice,Broken Rice,FAQ,1750,1750,1750,05 Sep 2017
7,Bellary,Hospet,Rice,Broken Rice,FAQ,1784,2353,2068,06 Jun 2016
8,Bellary,Hospet,Rice,Broken Rice,FAQ,1800,1800,1800,04 Jan 2017
9,Bellary,Hospet,Rice,Broken Rice,FAQ,1820,1840,1820,22 Sep 2015
10,Bellary,Hospet,Rice,Broken Rice,FAQ,1900,1900,1900,27 Apr 2016
11,Bellary,Hospet,Rice,Broken Rice,FAQ,1950,1950,1950,21 Mar 2017
12,Bellary,Hospet,Rice,Broken Rice,FAQ,1950,1961,1960,07 Mar 2017
13,Bellary,Hospet,Rice,Broken Rice,FAQ,1960,2205,2058,02 Nov 2016
14,Bellary,Hospet,Rice,Broken Rice,FAQ,1960,2352,2254,04 Nov 2016
15,Bellary,Hospet,Rice,Broken Rice,FAQ,2000,2000,2000,17 Jan 2017
16,Bellary,Hospet,Rice,Broken Rice,FAQ,2100,2200,2200,03 Aug 2016
17,Bellary,Hospet,Rice,Broken Rice,FAQ,2100,2750,2450,04 Mar 2020
18,Bellary,Hospet,Rice,Broken Rice,FAQ,2120,2125,2125,04 Jan 2020
19,Bellary,Hospet,Rice,Broken Rice,FAQ,2121,2211,2210,12 Mar 2019
20,Bellary,Hospet,Rice,Broken Rice,FAQ,2150,2400,2400,18 Dec 2019
21,Bellary,Hospet,Rice,Broken Rice,FAQ,2157,2255,2206,12 Dec 2016
22,Bellary,Hospet,Rice,Broken Rice,FAQ,2250,2250,2250,08 Mar 2017
23,Bellary,Hospet,Rice,Broken Rice,FAQ,2461,2470,2461,09 Dec 2019
24,Bellary,Hospet,Rice,Broken Rice,Medium,1550,1640,1600,02 Mar 2016
25,Bellary,Hospet,Rice,Broken Rice,Medium,1645,1882,1725,11 May 2016
