Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Bellary,Hospet,Tomato,Tomato,FAQ,40,800,800,02 Mar 2022
2,Bellary,Hospet,Tomato,Tomato,FAQ,200,300,250,24 Aug 2016
3,Bellary,Hospet,Tomato,Tomato,FAQ,200,300,300,07 Oct 2018
4,Bellary,Hospet,Tomato,Tomato,FAQ,200,300,300,21 Mar 2018
5,Bellary,Hospet,Tomato,Tomato,FAQ,200,300,300,23 Nov 2016
6,Bellary,Hospet,Tomato,Tomato,FAQ,200,400,200,21 Feb 2018
7,Bellary,Hospet,Tomato,Tomato,FAQ,200,400,300,04 Mar 2020
8,Bellary,Hospet,Tomato,Tomato,FAQ,200,400,300,07 Mar 2018
9,Bellary,Hospet,Tomato,Tomato,FAQ,200,400,300,27 Mar 2018
10,Bellary,Hospet,Tomato,Tomato,FAQ,200,400,300,28 Feb 2018
11,Bellary,Hospet,Tomato,Tomato,FAQ,200,400,400,17 Mar 2020
12,Bellary,Hospet,Tomato,Tomato,FAQ,200,450,400,08 Apr 2020
13,Bellary,Hospet,Tomato,Tomato,FAQ,200,500,300,07 Feb 2018
14,Bellary,Hospet,Tomato,Tomato,FAQ,200,500,300,09 Jan 2018
15,Bellary,Hospet,Tomato,Tomato,FAQ,200,500,300,12 Sep 2018
16,Bellary,Hospet,Tomato,Tomato,FAQ,200,500,300,13 Mar 2018
17,Bellary,Hospet,Tomato,Tomato,FAQ,200,500,300,17 Jan 2018
18,Bellary,Hospet,Tomato,Tomato,FAQ,200,500,300,20 Dec 2017
19,Bellary,Hospet,Tomato,Tomato,FAQ,200,500,300,21 Dec 2016
20,Bellary,Hospet,Tomato,Tomato,FAQ,200,500,300,24 Jan 2018
21,Bellary,Hospet,Tomato,Tomato,FAQ,200,500,300,31 Aug 2016
22,Bellary,Hospet,Tomato,Tomato,FAQ,200,500,300,31 Jan 2018
23,Bellary,Hospet,Tomato,Tomato,FAQ,200,500,400,11 Mar 2020
24,Bellary,Hospet,Tomato,Tomato,FAQ,200,500,400,21 Sep 2016
25,Bellary,Hospet,Tomato,Tomato,FAQ,250,300,300,06 Apr 2020
26,Bellary,Hospet,Tomato,Tomato,FAQ,250,300,300,14 Feb 2018
27,Bellary,Hospet,Tomato,Tomato,FAQ,250,300,300,20 Mar 2018
28,Bellary,Hospet,Tomato,Tomato,FAQ,250,300,300,28 Mar 2018
29,Bellary,Hospet,Tomato,Tomato,FAQ,250,400,300,06 Mar 2018
30,Bellary,Hospet,Tomato,Tomato,FAQ,250,400,300,16 Jan 2018
31,Bellary,Hospet,Tomato,Tomato,FAQ,250,400,300,16 Oct 2018
32,Bellary,Hospet,Tomato,Tomato,FAQ,250,400,300,22 Jan 2018
33,Bellary,Hospet,Tomato,Tomato,FAQ,250,400,300,28 Aug 2018
34,Bellary,Hospet,Tomato,Tomato,FAQ,250,400,300,30 Mar 2020
35,Bellary,Hospet,Tomato,Tomato,FAQ,250,450,300,22 Oct 2018
36,Bellary,Hospet,Tomato,Tomato,FAQ,250,450,350,28 Dec 2016
37,Bellary,Hospet,Tomato,Tomato,FAQ,250,500,250,06 May 2020
38,Bellary,Hospet,Tomato,Tomato,FAQ,250,500,300,02 Apr 2018
39,Bellary,Hospet,Tomato,Tomato,FAQ,250,500,300,03 Feb 2018
40,Bellary,Hospet,Tomato,Tomato,FAQ,250,500,300,20 Feb 2018
41,Bellary,Hospet,Tomato,Tomato,FAQ,250,500,300,25 Feb 2020
42,Bellary,Hospet,Tomato,Tomato,FAQ,250,500,400,03 Jan 2018
43,Bellary,Hospet,Tomato,Tomato,FAQ,250,500,400,07 Dec 2016
44,Bellary,Hospet,Tomato,Tomato,FAQ,250,500,400,16 Nov 2016
45,Bellary,Hospet,Tomato,Tomato,FAQ,250,500,400,29 Aug 2018
46,Bellary,Hospet,Tomato,Tomato,FAQ,250,1000,400,10 Jan 2021
47,Bellary,Hospet,Tomato,Tomato,FAQ,280,450,300,19 Sep 2018
48,Bellary,Hospet,Tomato,Tomato,FAQ,300,300,300,01 Jan 2017
49,Bellary,Hospet,Tomato,Tomato,FAQ,300,300,300,11 Apr 2021
50,Bellary,Hospet,Tomato,Tomato,FAQ,300,400,300,05 Sep 2018
51,Bellary,Hospet,Tomato,Tomato,FAQ,300,400,300,12 Dec 2016
52,Bellary,Hospet,Tomato,Tomato,FAQ,300,400,300,18 Sep 2018
53,Bellary,Hospet,Tomato,Tomato,FAQ,300,400,300,19 Dec 2016
54,Bellary,Hospet,Tomato,Tomato,FAQ,300,400,300,24 Aug 2018
55,Bellary,Hospet,Tomato,Tomato,FAQ,300,400,300,24 Dec 2018
56,Bellary,Hospet,Tomato,Tomato,FAQ,300,400,300,26 Sep 2018
57,Bellary,Hospet,Tomato,Tomato,FAQ,300,400,300,30 Dec 2017
58,Bellary,Hospet,Tomato,Tomato,FAQ,300,400,350,01 Jan 2018
59,Bellary,Hospet,Tomato,Tomato,FAQ,300,400,350,12 Apr 2021
60,Bellary,Hospet,Tomato,Tomato,FAQ,300,400,400,01 Jan 2019
61,Bellary,Hospet,Tomato,Tomato,FAQ,300,400,400,10 Apr 2021
62,Bellary,Hospet,Tomato,Tomato,FAQ,300,400,400,15 Jan 2021
63,Bellary,Hospet,Tomato,Tomato,FAQ,300,400,400,16 Dec 2018
64,Bellary,Hospet,Tomato,Tomato,FAQ,300,400,400,22 Dec 2018
65,Bellary,Hospet,Tomato,Tomato,FAQ,300,400,400,27 Jan 2021
66,Bellary,Hospet,Tomato,Tomato,FAQ,300,400,400,29 Apr 2020
67,Bellary,Hospet,Tomato,Tomato,FAQ,300,400,400,30 Apr 2021
68,Bellary,Hospet,Tomato,Tomato,FAQ,300,450,300,12 Sep 2016
69,Bellary,Hospet,Tomato,Tomato,FAQ,300,450,300,29 Aug 2016
70,Bellary,Hospet,Tomato,Tomato,FAQ,300,450,350,23 Mar 2020
71,Bellary,Hospet,Tomato,Tomato,FAQ,300,450,400,04 Apr 2018
72,Bellary,Hospet,Tomato,Tomato,FAQ,300,450,400,10 Oct 2018
73,Bellary,Hospet,Tomato,Tomato,FAQ,300,450,400,17 Mar 2019
74,Bellary,Hospet,Tomato,Tomato,FAQ,300,500,300,17 Apr 2020
75,Bellary,Hospet,Tomato,Tomato,FAQ,300,500,350,03 Oct 2018
76,Bellary,Hospet,Tomato,Tomato,FAQ,300,500,400,02 Apr 2019
77,Bellary,Hospet,Tomato,Tomato,FAQ,300,500,400,03 Mar 2019
78,Bellary,Hospet,Tomato,Tomato,FAQ,300,500,400,04 Sep 2018
79,Bellary,Hospet,Tomato,Tomato,FAQ,300,500,400,05 Apr 2020
80,Bellary,Hospet,Tomato,Tomato,FAQ,300,500,400,05 Feb 2020
81,Bellary,Hospet,Tomato,Tomato,FAQ,300,500,400,05 Mar 2019
82,Bellary,Hospet,Tomato,Tomato,FAQ,300,500,400,06 Aug 2018
83,Bellary,Hospet,Tomato,Tomato,FAQ,300,500,400,08 Aug 2018
84,Bellary,Hospet,Tomato,Tomato,FAQ,300,500,400,09 Nov 2016
85,Bellary,Hospet,Tomato,Tomato,FAQ,300,500,400,12 Mar 2019
86,Bellary,Hospet,Tomato,Tomato,FAQ,300,500,400,13 Aug 2018
87,Bellary,Hospet,Tomato,Tomato,FAQ,300,500,400,16 Feb 2020
88,Bellary,Hospet,Tomato,Tomato,FAQ,300,500,400,16 Mar 2016
89,Bellary,Hospet,Tomato,Tomato,FAQ,300,500,400,18 Aug 2018
90,Bellary,Hospet,Tomato,Tomato,FAQ,300,500,400,18 Sep 2019
91,Bellary,Hospet,Tomato,Tomato,FAQ,300,500,400,19 Apr 2021
92,Bellary,Hospet,Tomato,Tomato,FAQ,300,500,400,19 Dec 2018
93,Bellary,Hospet,Tomato,Tomato,FAQ,300,500,400,19 Feb 2019
94,Bellary,Hospet,Tomato,Tomato,FAQ,300,500,400,19 Feb 2020
95,Bellary,Hospet,Tomato,Tomato,FAQ,300,500,400,20 Aug 2018
96,Bellary,Hospet,Tomato,Tomato,FAQ,300,500,400,21 Apr 2021
97,Bellary,Hospet,Tomato,Tomato,FAQ,300,500,400,22 Apr 2020
98,Bellary,Hospet,Tomato,Tomato,FAQ,300,500,400,24 Mar 2019
99,Bellary,Hospet,Tomato,Tomato,FAQ,300,500,400,25 Jan 2017
100,Bellary,Hospet,Tomato,Tomato,FAQ,300,500,400,25 Sep 2018
101,Bellary,Hospet,Tomato,Tomato,FAQ,300,500,400,26 Feb 2019
102,Bellary,Hospet,Tomato,Tomato,FAQ,300,500,400,26 Mar 2019
103,Bellary,Hospet,Tomato,Tomato,FAQ,300,500,400,30 Jan 2017
104,Bellary,Hospet,Tomato,Tomato,FAQ,300,500,400,30 Oct 2018
105,Bellary,Hospet,Tomato,Tomato,FAQ,300,500,400,31 Dec 2018
